epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,881.72,1.47683,2.22704,1.62132,0.42324,0.37548,0.26365,0.14626,2.04249,2.91422,2.19223,0.000661765,0.000661765,0.000661765
2,1234.38,1.63759,1.92352,1.73434,0.31933,0.31742,0.19156,0.08143,2.38042,3.03465,2.54786,0.00126267,0.00126267,0.00126267
3,1577.27,1.69813,1.87669,1.76074,0.43219,0.39187,0.27177,0.1384,2.28814,2.5373,2.49966,0.00179758,0.00179758,0.00179758
4,1920.91,1.68061,1.793,1.75568,0.47896,0.39419,0.32713,0.19425,2.14279,2.36599,2.33913,0.001703,0.001703,0.001703
5,2262.19,1.63025,1.71019,1.71112,0.4657,0.44968,0.29563,0.16596,2.10051,2.67138,2.20762,0.001604,0.001604,0.001604
6,2602.77,1.55733,1.60733,1.66445,0.52345,0.41161,0.34182,0.20033,2.16884,2.37691,2.32781,0.001505,0.001505,0.001505
7,2943.1,1.54617,1.64651,1.66262,0.59524,0.43742,0.4085,0.2508,1.98898,2.29392,2.16877,0.001406,0.001406,0.001406
8,3283.68,1.48844,1.57461,1.62346,0.53131,0.43871,0.34237,0.21424,1.96942,2.44093,2.17439,0.001307,0.001307,0.001307
9,3628.72,1.43959,1.50556,1.56865,0.58941,0.49226,0.44087,0.2805,1.86865,2.01387,1.98205,0.001208,0.001208,0.001208
10,3975.62,1.43131,1.4983,1.58215,0.54552,0.50581,0.41024,0.26348,1.8511,2.1042,2.03632,0.001109,0.001109,0.001109
11,4312.17,1.41931,1.48317,1.65809,0.54532,0.50759,0.36488,0.23313,1.88961,2.26571,2.09001,0.00101,0.00101,0.00101
12,4649.73,1.36806,1.39366,1.6201,0.55932,0.51161,0.36709,0.22925,1.81476,2.0392,1.94672,0.000911,0.000911,0.000911
13,4982.34,1.33714,1.37634,1.58456,0.59556,0.51935,0.44399,0.2921,1.81488,2.0181,1.96514,0.000812,0.000812,0.000812
14,5320.54,1.30373,1.34227,1.54894,0.5715,0.54516,0.38173,0.23956,1.79279,2.07419,1.94598,0.000713,0.000713,0.000713
15,5657.85,1.2851,1.28711,1.53756,0.58323,0.55032,0.418,0.27137,1.75981,1.9708,1.97216,0.000614,0.000614,0.000614
16,5995.68,1.2325,1.26257,1.49349,0.58822,0.54516,0.39113,0.25532,1.6958,2.05307,1.93113,0.000515,0.000515,0.000515
17,6335.18,1.20764,1.22746,1.47422,0.61085,0.52903,0.41467,0.27899,1.73391,2.01188,1.92368,0.000416,0.000416,0.000416
18,6674.73,1.19004,1.20205,1.45857,0.58831,0.54323,0.4172,0.27942,1.75136,1.99338,1.95216,0.000317,0.000317,0.000317
19,7013.48,1.15522,1.16494,1.4286,0.59536,0.5534,0.39527,0.25916,1.69541,2.01443,1.92247,0.000218,0.000218,0.000218
20,7351.11,1.14323,1.17178,1.41632,0.59988,0.54968,0.41846,0.28081,1.69543,2.0006,1.90975,0.000119,0.000119,0.000119
